Heading,Import,Export
AGL NightSaver EV,104.8,
0-6,8.0,1.5
6-24,25.9,1.5
CovaU Pty Ltd,116.5,
0-24,28.8,4.9
Diamond Energy,106.2,
0-24,28.6,3.0
EnergyLocals,68,
0-10,29.0,2.8
10-14,29.0,1.5
14-16,29.0,2.0
16-21,29.0,12.0
21-24,29.0,2.8
Engie EV Flex,116.5,
0-6,28.8,10.0
6-24,28.8,10.0
Engie Perks Elec,116.5,
0-24,28.8,4.0
Engie TOU,116.5,
0-15,23.0,4.0
15-21,38.4,4.0
21-24,23.0,4.0
GloBird,107.8,
0-10,37.4,0.0
10-14,0.0,0.0
14-17,37.4,0.0
17-21,37.4,10.0
21-24,37.4,0.0
Momentum Energy EV Does It,109.45,
0-15,17.27,1.1
15-21,38.5,1.1
21-24,17.27,1.1
Momentum Energy Warm Welcome,109.45,
0-15,19.36,1.1
15-21,32.23,1.1
21-24,19.36,1.1
Origin Solar Boost,119.4,
0-7,18.4,5.0
7-23,37.9,5.0
23-24,18.4,5.0
Ovo  (free period & off-peak #2),92.4,
0-6,8.0,1.0
6-11,32.7,1.0
11-14,0.0,1.0
14-24,48.2,1.0
Ovo (free period & off-peak #1),82.5,
0-6,8.0,3.3
6-11,35.5,3.3
11-14,0.0,3.3
14-24,35.5,3.3
Ovo Free 3 Plan,94.6,
0-11,26.8,1.0
11-14,0.0,1.0
14-24,26.8,1.0
Ovo The One Plan,94.6,
0-24,24.2,1.0
PowerShop,90.8,
0-24,24.2,0.5
Red Energy (Bus),126.1,
0-24,27.1,1.0
Tango,96.3,
0-24,30.3,0.0
VEN (selling only @ 6c),139.7,
0-24,29.0,6.4
VEN 23c (buy @ 23c & sell @ 6c then 29),140.0,
0-9,29.0,6.4
9-16,23.4,6.4
16-24,29.0,6.4
Vic Default Offer,116.0,
0-24,28.4,0.0
Vic Default Offer ToU,116.0,
0-24,23.0,0.0